/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄴ/ㄹ,날,낼,냘,냴,널,넬,녈,녤,놀,뇰,눌,뉼,늘,닐,놜,뇔,놸,눨,뉠,뉄,늴
ㄴ/ㅁ,남,냄,냠,냼,넘,넴,념,녬,놈,뇸,눔,늄,늠,님,놤,뇜,뇀,눰,뉨,뉌,늼
ㄴ/ㅂ,납,냅,냡,냽,넙,넵,녑,녭,놉,뇹,눕,늅,늡,닙,놥,뇝,뇁,눱,뉩,뉍,늽
ㄴ/ㅅ,낫,냇,냣,냿,넛,넷,녁,녯,놋,뇻,눗,늇,늣,닛,놧,뇟,뇃,눳,뉫,뉏,늿
ㄴ/ㅇ,낭,냉,냥,넁,넝,넹,녕,녱,농,뇽,눙,늉,능,닝,놩,뇡,뇅,눵,뉭,뉑,닁
ㄴ/ㅈ,낮,냊,냦,넂,넞,넺,녖,녲,놎,뇾,눚,늊,늦,닞,놪,뇢,뇆,눶,뉮,뉒,닂
ㄴ/ㅊ,낯,냋,냧,넃,넟,넻,녗,녳,놏,뇿,눛,늋,늧,닟,놫,뇣,뇇,눷,뉯,뉓,닃
ㄴ/ㅋ,낰,냌,냨,넄,넠,넼,녘,녴,놐,눀,눜,늌,늨,닠,놬,뇤,뇈,눸,뉰,뉔,닄
ㄴ/ㅌ,낱,냍,냩,넅,넡,넽,녙,녵,놑,눁,눝,늍,늩,닡,놭,뇥,뇉,눹,뉱,뉕,닅
ㄴ/ㅍ,낲,냎,냪,넆,넢,넾,녚,녶,높,눂,눞,늎,늪,닢,놮,뇦,뇊,눺,뉲,뉖,닆
ㄴ/ㅎ,낳,냏,냫,넇,넣,넿,녛,녷,놓,눃,눟,늏,늫,닣,놯,뇧,뇋,눻,뉳,뉗,닇
ㄴ/ㄲ,낚,낶,냒,냮,넊,넦,녂,녞,녺,뇪,눆,뉶,늒,닊,놖,뇎,놲,눢,뉚,눾,늮
ㄴ/ㄳ,낛,낷,냓,냯,넋,넧,녃,녟,녻,뇫,눇,뉷,늓,닋,놗,뇏,놳,눣,뉛,눿,늯
ㄴ/ㄵ,낝,낹,냕,냱,넍,넩,녅,녡,녽,뇭,눉,뉹,늕,닍,놙,뇑,놵,눥,뉝,뉁,늱
ㄴ/ㄶ,낞,낺,냖,냲,넎,넪,녆,녢,녾,뇮,눊,뉺,늖,닎,놚,뇒,놶,눦,뉞,뉂,늲
ㄴ/ㄺ,낡,낽,냙,냵,넑,넭,녉,녥,놁,뇱,눍,뉽,늙,닑,놝,뇕,놹,눩,뉡,뉅,늵
ㄴ/ㄻ,낢,낾,냚,냶,넒,넮,녊,녦,놂,뇲,눎,뉾,늚,닒,놞,뇖,놺,눪,뉢,뉆,늶
