/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㅇ/ㄼ,앏,앫,얇,얣,얿,엛,엷,옓,옯,욟,욻,윫,읇,읿,왋,욃,왧,웗,윏,웳,읣
ㅇ/ㄽ,앐,앬,얈,얤,엀,엜,엸,옔,옰,욠,욼,윬,읈,잀,왌,욄,왨,웘,윐,웴,읤
ㅇ/ㄾ,앑,앭,얉,얥,엁,엝,엹,옕,옱,욡,욽,윭,읉,잁,왍,욅,왩,웙,윑,웵,읥
ㅇ/ㄿ,앒,앮,얊,얦,엂,엞,엺,옖,옲,욡,욾,윮,읊,잂,왎,욆,왪,웚,윒,웶,읦
ㅇ/ㅀ,앓,앯,얋,얧,엃,엟,엻,옗,옳,욣,욿,윯,읋,잃,왏,욇,왫,웛,윓,웷,읧
ㅇ/ㅄ,앖,앲,얎,얪,없,엢,엾,옚,옶,욦,웂,윲,읎,잆,왒,욊,왮,웞,윖,웺,읪
ㅇ/ㅆ,았,앴,얐,얬,었,엤,였,엤,옸,욨,웄,윴,읐,있,왔,욌,왰,웠,윘,웼,읬
ㅈ/:,자,재,쟈,쟤,저,제,져,졔,조,죠,주,쥬,즈,지,좌,죄,좨,줘,쥐,줴,즤
ㅈ/ㄱ,작,잭,쟉,쟥,적,젝,젹,졕,족,죡,죽,쥭,즉,직,좍,죅,좩,줙,쥑,줵,즥
ㅈ/ㄴ,잔,잰,쟌,쟨,전,젠,젼,졘,존,죤,준,쥰,즌,진,좐,죈,좬,줜,쥔,줸,즨
ㅈ/ㄷ,잗,잳,쟏,쟫,젇,젣,젿,졛,졷,죧,줃,쥳,즏,짇,좓,죋,좯,줟,쥗,줻,즫
ㅈ/ㄹ,잘,잴,쟐,쟬,절,젤,졀,졜,졸,죨,줄,쥴,즐,질,좔,죌,좰,줠,쥘,줼,즬
ㅈ/ㅁ,잠,잼,쟘,쟴,점,젬,졈,졤,좀,죰,줌,쥼,즘,짐,좜,죔,좸,줨,쥠,쥄,즴
ㅈ/ㅂ,잡,잽,쟙,쟵,접,젭,졉,졥,좁,죱,줍,쥽,즙,집,좝,죕,좹,줩,쥡,쥅,즵
ㅈ/ㅅ,잣,잿,쟛,쟷,젓,젯,졋,졧,좃,죳,줏,쥿,즛,짓,좟,죗,좻,줫,쥣,쥇,즷
ㅈ/ㅇ,장,쟁,쟝,쟹,정,젱,졍,졩,종,죵,중,즁,증,징,좡,죙,좽,줭,쥥,쥉,즹
ㅈ/ㅈ,잦,쟂,쟞,쟺,젖,젲,졎,졪,좆,죶,줒,즂,즞,짖,좢,죚,좾,줮,쥦,쥊,즺
ㅈ/ㅊ,잧,쟃,쟟,쟻,젗,젳,졏,졫,좇,죷,줓,즃,즟,짗,좣,죛,좿,줯,쥧,쥋,즻
ㅈ/ㅋ,잨,쟄,쟠,쟼,젘,젴,졐,졬,좈,죸,줔,즄,즠,짘,좤,죜,죀,줰,쥨,쥌,즼
ㅈ/ㅌ,잩,쟅,쟡,쟽,젙,젵,졑,졭,좉,죹,줕,즅,즡,짙,좥,죝,죁,줱,쥩,쥍,즽
ㅈ/ㅍ,잪,쟆,쟢,쟾,젚,젶,졒,졮,좊,죺,줖,즆,즢,짚,좦,죞,죂,줲,쥪,쥎,즾
ㅈ/ㅎ,잫,쟇,쟣,쟿,젛,젷,졓,졯,좋,죻,줗,즇,즣,짛,좧,죟,죃,줳,쥫,쥏,즿
ㅈ/ㄲ,잒,잮,쟊,쟦,젂,젞,젺,졖,졲,죢,죾,쥮,즊,짂,좎,죆,좪,줚,쥒,줶,즦
ㅈ/ㄳ,잓,잯,쟋,쟧,젃,젟,젻,졗,졳,죣,죿,쥯,즋,짃,좏,죇,좫,줛,쥓,줷,즧
ㅈ/ㄵ,잕,잱,쟍,쟩,젅,젡,젽,졙,졵,죥,줁,쥱,즍,짅,좑,죉,좭,줝,쥕,줹,즩
ㅈ/ㄶ,잖,잲,쟎,쟪,젆,젢,젾,졚,졶,죦,줂,쥲,즎,짆,좒,죊,좮,줞,쥖,줺,즪
ㅈ/ㄺ,잙,잵,쟑,쟭,젉,젥,졁,졝,졹,죩,줅,쥵,즑,짉,좕,죍,좱,줡,쥙,줽,즭
ㅈ/ㄻ,잚,잶,쟒,쟮,젊,젦,졂,졞,졺,죪,줆,쥶,즒,짊,좖,죎,좲,줢,쥚,줾,즮
ㅈ/ㄼ,잛,잷,쟓,쟯,젋,젧,졃,졟,졻,죫,줇,쥷,즓,짋,좗,죏,좳,줢,쥛,줿,즯
ㅈ/ㄽ,잜,잸,쟔,쟰,젌,젨,졄,졠,졼,죬,줈,쥸,즔,짌,좘,죐,좴,줤,쥜,쥀,즰
ㅈ/ㄾ,잝,잹,쟕,쟱,젍,젩,졅,졡,졽,죭,줉,쥹,즕,짍,좙,죑,좵,줥,쥝,쥁,즱
ㅈ/ㄿ,잞,잺,쟖,쟲,젎,젪,졆,졢,졾,죭,줊,쥺,즖,짎,좚,죒,좶,줦,쥞,쥂,즲
ㅈ/ㅀ,잟,잻,쟗,쟳,젏,젫,졇,졣,졿,죯,줋,쥻,즗,짏,좛,죓,좷,줧,쥟,쥃,즳
ㅈ/ㅄ,잢,잾,쟚,쟶,젒,젮,졊,졦,좂,죲,줎,쥾,즚,짒,좞,죖,좺,줪,쥢,쥆,즶
ㅈ/ㅆ,잤,쟀,쟜,쟸,젔,젰,졌,젰,좄,죴,줐,즀,즜,짔,좠,죘,좼,줬,쥤,쥈,즸
ㅉ/:,짜,째,쨔,쨰,쩌,쩨,쪄,쪠,쪼,쬬,쭈,쮸,쯔,찌,쫘,쬐,쫴,쭤,쮜,쮀,쯰
ㅉ/ㄱ,짝,짹,쨕,쨱,쩍,쩩,쪅,쪡,쪽,쬭,쭉,쮹,쯕,찍,쫙,쬑,쫵,쭥,쮝,쮁,쯱
ㅉ/ㄴ,짠,짼,쨘,쨴,쩐,쩬,쪈,쪤,쫀,쬰,쭌,쮼,쯘,찐,쫜,쬔,쫸,쭨,쮠,쮄,쯴
ㅉ/ㄷ,짣,짿,쨛,쨷,쩓,쩯,쪋,쪧,쫃,쬳,쭏,쮿,쯛,찓,쫟,쬗,쫻,쭫,쮣,쮇,쯷
ㅉ/ㄹ,짤,쨀,쨜,쨸,쩔,쩰,쪌,쪨,쫄,쬴,쭐,쯀,쯜,찔,쫠,쬘,쫼,쭬,쮤,쮈,쯸
ㅉ/ㅁ,짬,쨈,쨤,쩀,쩜,쩸,쪔,쪰,쫌,쬼,쭘,쯈,쯤,찜,쫨,쬠,쬄,쭴,쮬,쮐,찀
ㅉ/ㅂ,짭,쨉,쨥,쩁,쩝,쩹,쪕,쪱,쫍,쬽,쭙,쯉,쯥,찝,쫩,쬡,쬅,쭵,쮭,쮑,찁
ㅉ/ㅅ,짯,쨋,쨧,쩃,쩟,쩻,쪗,쪳,쫏,쬿,쭛,쯋,쯧,찟,쫫,쬣,쬇,쭷,쮯,쮓,찃
ㅉ/ㅇ,짱,쨍,쨩,쩅,쩡,쩽,쪙,쪵,쫑,쭁,쭝,쯍,쯩,찡,쫭,쬥,쬉,쭹,쮱,쮕,찅
ㅉ/ㅈ,짲,쨎,쨪,쩆,쩢,쩾,쪚,쪶,쫒,쭂,쭞,쯎,쯪,찢,쫮,쬦,쬊,쭺,쮲,쮖,찆
ㅉ/ㅊ,짳,쨏,쨫,쩇,쩣,쩿,쪛,쪷,쫓,쭃,쭟,쯏,쯫,찣,쫯,쬧,쬋,쭻,쮳,쮗,찇
ㅉ/ㅋ,짴,쨐,쨬,쩈,쩤,쪀,쪜,쪸,쫔,쭄,쭠,쯐,쯬,찤,쫰,쬨,쬌,쭼,쮴,쮘,찈
ㅉ/ㅌ,짵,쨑,쨭,쩉,쩥,쪁,쪝,쪹,쫕,쭅,쭡,쯑,쯭,찥,쫱,쬩,쬍,쭽,쮵,쮙,찉
ㅉ/ㅍ,짶,쨒,쨮,쩊,쩦,쪂,쪞,쪺,쫖,쭆,쭢,쯒,쯮,찦,쫲,쬪,쬎,쭾,쮶,쮚,찊
ㅉ/ㅎ,짷,쨓,쨯,쩋,쩧,쪃,쪟,쪻,쫗,쭇,쭣,쯓,쯯,찧,쫳,쬫,쬏,쭿,쮷,쮛,찋
ㅉ/ㄲ,짞,짺,쨖,쨲,쩎,쩪,쪆,쪢,쪾,쬮,쭊,쮺,쯖,찎,쫚,쬒,쫶,쭦,쮞,쮂,쯲
ㅉ/ㄳ,짟,짻,쨗,쨳,쩏,쩫,쪇,쪣,쪿,쬯,쭋,쮻,쯗,찏,쫛,쬓,쫷,쭧,쮟,쮃,쯳
ㅉ/ㄵ,짡,짽,쨙,쨵,쩑,쩭,쪉,쪥,쫁,쬱,쭍,쮽,쯙,찑,쫝,쬕,쫹,쭩,쮡,쮅,쯵
ㅉ/ㄶ,짢,짾,쨚,쨶,쩒,쩮,쪊,쪦,쫂,쬲,쭎,쮾,쯚,찒,쫞,쬖,쫺,쭪,쮢,쮆,쯶
ㅉ/ㄺ,짥,쨁,쨝,쨹,쩕,쩱,쪍,쪩,쫅,쬵,쭑,쯁,쯝,찕,쫡,쬙,쫽,쭭,쮥,쮉,쯹
ㅉ/ㄻ,짦,쨂,쨞,쨺,쩖,쩲,쪎,쪪,쫆,쬶,쭒,쯂,쯞,찖,쫢,쬚,쫾,쭮,쮦,쮊,쯺
ㅉ/ㄼ,짧,쨃,쨟,쨻,쩗,쩳,쪏,쪫,쫇,쬷,쭓,쯃,쯟,찗,쫣,쬛,쫿,쭮,쮧,쮋,쯻
ㅉ/ㄽ,짨,쨄,쨠,쨼,쩘,쩴,쪐,쪬,쫈,쬸,쭔,쯄,쯠,찘,쫤,쬜,쬀,쭰,쮨,쮌,쯼
ㅉ/ㄾ,짩,쨅,쨡,쨽,쩙,쩵,쪑,쩵,쫉,쬹,쭕,쯅,쯡,찙,쫥,쬝,쬁,쭱,쮩,쮍,쯽
ㅉ/ㄿ,짪,쨆,쨢,쨾,쩚,쩶,쪒,쪮,쫊,쬹,쭖,쯆,쯢,찚,쫦,쬞,쬂,쭲,쮪,쮎,쯾
ㅉ/ㅀ,짫,쨇,쨣,쨿,쩛,쩷,쪓,쪯,쫋,쬻,쭗,쯇,쯣,찛,쫧,쬟,쬃,쭳,쮫,쮏,쯿
ㅉ/ㅄ,짮,쨊,쨦,쩂,쩞,쩺,쪖,쪲,쫎,쬾,쭚,쯊,쯦,찞,쫪,쬢,쬆,쭶,쮮,쮒,찂
ㅉ/ㅆ,짰,쨌,쨨,쩄,쩠,쩼,쪘,쪴,쫐,쭀,쭜,쯌,쯨,찠,쫬,쬤,쬈,쭸,쮰,쮔,찄
ㅊ/:,차,채,챠,챼,처,체,쳐,쳬,초,쵸,추,츄,츠,치,촤,최,쵀,춰,취,췌,츼
ㅊ/ㄱ,착,책,챡,챽,척,첵,쳑,쳭,촉,쵹,축,츅,측,칙,촥,쵝,쵁,춱,췩,췍,츽
ㅊ/ㄴ,찬,챈,챤,첀,천,첸,쳔,쳰,촌,쵼,춘,츈,츤,친,촨,쵠,쵄,춴,췬,췐,칀
ㅊ/ㄷ,찯,챋,챧,첃,첟,첻,쳗,쳳,촏,쵿,춛,츋,츧,칟,촫,쵣,쵇,춷,췯,췓,칃
ㅊ/ㄹ,찰,챌,챨,첄,철,첼,쳘,쳴,촐,춀,출,츌,츨,칠,촬,쵤,쵈,춸,췰,췔,칄
ㅊ/ㅁ,참,챔,챰,첌,첨,쳄,쳠,쳼,촘,춈,춤,츔,츰,침,촴,쵬,쵐,췀,췸,췜,칌
ㅊ/ㅂ,찹,챕,챱,첍,첩,쳅,쳡,쳽,촙,춉,춥,츕,츱,칩,촵,쵭,쵑,췁,췹,췝,칍
ㅊ/ㅅ,찻,챗,챳,첏,첫,쳇,쳣,쳿,촛,춋,춧,츗,츳,칫,촷,쵯,쵓,췃,췻,췟,칏
ㅊ/ㅇ,창,챙,챵,첑,청,쳉,쳥,촁,총,춍,충,츙,층,칭,촹,쵱,쵕,췅,췽,췡,칑
ㅊ/ㅈ,찾,챚,챶,첒,첮,쳊,쳦,촂,촞,춎,춪,츚,츶,칮,촺,쵲,쵖,췆,췾,췢,칒
ㅊ/ㅊ,찿,챛,챷,첓,첯,쳋,쳧,촃,촟,춏,춫,츛,츷,칯,촻,쵳,쵗,췇,췿,췣,칓
ㅊ/ㅋ,챀,챜,챸,첔,첰,쳌,쳨,촄,촠,춐,춬,츜,츸,칰,촼,쵴,쵘,췈,츀,췤,칔
ㅊ/ㅌ,챁,챝,챹,첕,첱,쳍,쳩,촅,촡,춑,춭,츝,츹,칱,촽,쵵,쵙,췉,츁,췥,칕
ㅊ/ㅍ,챂,챞,챺,첖,첲,쳎,쳪,촆,촢,춒,춮,츞,츺,칲,촾,쵶,쵚,췊,츂,췦,칖
ㅊ/ㅎ,챃,챟,챻,첗,첳,쳏,쳫,촇,촣,춓,춯,츟,츻,칳,촿,쵷,쵛,췋,츃,췧,칗
ㅊ/ㄲ,찪,챆,챢,챾,첚,첶,쳒,쳮,촊,쵺,춖,츆,츢,칚,촦,쵞,쵂,춲,췪,췎,츾
ㅊ/ㄳ,찫,챇,챣,챿,첛,첷,쳓,쳯,촋,쵻,춗,츇,츣,칛,촧,쵟,쵃,춳,췫,췏,츿
ㅊ/ㄵ,찭,챉,챥,첁,첝,첹,쳕,쳱,촍,쵽,춙,츉,츥,칝,촩,쵡,쵅,춵,췭,췑,칁
ㅊ/ㄶ,찮,챊,챦,첂,첞,첺,쳖,쳲,촎,쵾,춚,츊,츦,칞,촪,쵢,쵆,춶,췮,췒,칂
ㅊ/ㄺ,찱,챍,챩,첅,첡,첽,쳙,쳵,촑,춁,춝,츍,츩,칡,촭,쵥,쵉,춹,췱,췕,칅
ㅊ/ㄻ,찲,챎,챪,첆,첢,첾,쳚,쳶,촒,춂,춞,츎,츪,칢,촮,쵦,쵊,춺,췲,췖,칆
ㅊ/ㄼ,찳,챏,챫,첇,첣,첿,쳛,쳷,촓,춃,춟,츏,츫,칣,촯,쵧,쵋,춻,췳,췗,칇
ㅊ/ㄽ,찴,챐,챬,첈,첤,쳀,쳜,쳸,촔,춄,춠,츐,츬,칤,촰,쵨,쵌,춼,췴,췘,칈
ㅊ/ㄾ,찵,챑,챭,첉,첥,쳁,쳝,쳹,촕,춅,춡,츑,츭,칥,촱,쵩,쵍,춽,췵,췙,칉
ㅊ/ㄿ,찶,챒,챮,첊,첦,쳂,쳞,쳺,촖,춅,춢,츒,츮,칦,촲,쵪,쵎,춾,췶,췚,칊
ㅊ/ㅀ,찷,챓,챯,첋,첧,쳃,쳟,쳻,촗,춇,춣,츓,츯,칧,촳,쵫,쵏,춿,췷,췛,칋
ㅊ/ㅄ,찺,챖,챲,첎,첪,쳆,쳢,쳾,촚,춊,춦,츖,츲,칪,촶,쵮,쵒,췂,췺,췞,칎
ㅊ/ㅆ,찼,챘,챴,첐,첬,쳈,쳤,쳿,촜,춌,춨,츘,츴,칬,촸,쵰,쵔,췄,췼,췠,칐
ㅋ/:,카,캐,캬,컈,커,케,켜,켸,코,쿄,쿠,큐,크,키,콰,쾨,쾌,쿼,퀴,퀘,킈
ㅋ/ㄱ,칵,캑,캭,컉,컥,켁,켝,켹,콕,쿅,쿡,큑,큭,킥,콱,쾩,쾍,쿽,퀵,퀙,킉
ㅋ/ㄴ,칸,캔,캰,컌,컨,켄,켠,켼,콘,쿈,쿤,큔,큰,킨,콴,쾬,쾐,퀀,퀸,퀜,킌
ㅋ/ㄷ,칻,캗,캳,컏,컫,켇,켣,켿,콛,쿋,쿧,큗,큳,킫,콷,쾯,쾓,퀃,퀻,퀟,킏
ㅋ/ㄹ,칼,캘,캴,컐,컬,켈,켤,콀,콜,쿌,쿨,큘,클,킬,콸,쾰,쾔,퀄,퀼,퀠,킐
ㅋ/ㅁ,캄,캠,캼,컘,컴,켐,켬,콈,콤,쿔,쿰,큠,큼,킴,쾀,쾸,쾜,퀌,큄,퀨,킘
ㅋ/ㅂ,캅,캡,캽,컙,컵,켑,켭,콉,콥,쿕,쿱,큡,큽,킵,쾁,쾹,쾝,퀍,큅,퀩,킙
ㅋ/ㅅ,캇,캣,캿,컛,컷,켓,켯,콋,콧,쿗,쿳,큣,큿,킷,쾃,쾻,쾟,퀏,큇,퀫,킛
ㅋ/ㅇ,캉,캥,컁,컝,컹,켕,켱,콍,콩,쿙,쿵,큥,킁,킹,쾅,쾽,쾡,퀑,큉,퀭,킝
ㅋ/ㅈ,캊,캦,컂,컞,컺,켖,켲,콎,콪,쿚,쿶,큦,킂,킺,쾆,쾾,쾢,퀒,큊,퀮,킞
ㅋ/ㅊ,캋,캧,컃,컟,컻,켗,켳,콏,콫,쿛,쿷,큧,킃,킻,쾇,쾿,쾣,퀓,큋,퀯,킟
ㅋ/ㅋ,캌,캨,컄,컠,컼,켘,켴,콐,콬,쿜,쿸,큨,킄,킼,쾈,쿀,쾤,퀔,큌,퀰,킠
ㅋ/ㅌ,캍,캩,컅,컡,컽,켙,켵,콑,콭,쿝,쿹,큩,킅,킽,쾉,쿁,쾥,퀕,큍,퀱,킡
ㅋ/ㅍ,캎,캪,컆,컢,컾,켚,켶,콒,콮,쿞,쿺,큪,킆,킾,쾊,쿂,쾦,퀖,큎,퀲,킢
ㅋ/ㅎ,캏,캫,컇,컣,컿,켛,켷,콓,콯,쿟,쿻,큫,킇,킿,쾋,쿃,쾧,퀗,큏,퀳,킣
ㅋ/ㄲ,칶,캒,캮,컊,컦,켂,켞,켺,콖,쿆,쿢,큒,큮,킦,콲,쾪,쾎,쿾,퀶,퀚,킊
ㅋ/ㄳ,칷,캓,캯,컋,컧,켃,켟,켻,콗,쿇,쿣,큓,큯,킧,콳,쾫,쾏,쿿,퀷,퀛,킋
ㅋ/ㄵ,칹,캕,캱,컍,컩,켅,켡,켽,콙,쿉,쿥,큕,큱,킩,콵,쾭,쾑,퀁,퀹,퀝,킍
ㅋ/ㄶ,칺,캖,캲,컎,컪,켆,켢,켾,콚,쿊,쿦,큖,큲,킪,콶,쾮,쾒,퀂,퀺,퀞,킎
ㅋ/ㄺ,칽,캙,캵,컑,컭,켉,켥,콁,콝,쿍,쿩,큙,큵,킭,콹,쾱,쾕,퀅,퀽,퀡,킑
ㅋ/ㄻ,칾,캚,캶,컒,컮,켊,켦,콂,콞,쿎,쿪,큚,큶,킮,콺,쾲,쾖,퀆,퀾,퀢,킒
ㅋ/ㄼ,칿,캛,캷,컓,컯,켋,켧,콃,콟,쿏,쿫,큛,큷,킯,콻,쾳,쾗,퀇,퀿,퀣,킓
ㅋ/ㄽ,캀,캜,캸,컔,컰,켌,켨,콄,콠,쿐,쿬,큜,큸,킰,콼,쾴,쾘,퀈,큀,퀤,킔
ㅋ/ㄾ,캁,캝,캹,컕,컱,켍,켩,콅,콡,쿑,쿭,큝,큹,킱,콽,쾵,쾙,퀉,큁,퀥,킕
ㅋ/ㄿ,캂,캞,캺,컖,컲,켎,켪,콆,콢,쿑,쿮,큞,큺,킲,콾,쾶,쾚,퀊,큂,퀦,킖
ㅋ/ㅀ,캃,캟,캻,컗,컳,켏,켫,콇,콣,쿓,쿯,큟,큻,킳,콿,쾷,쾛,퀋,큃,퀧,킗
ㅋ/ㅄ,캆,캢,캾,컚,컶,켒,켮,콊,콦,쿖,쿲,큢,큾,킶,쾂,쾺,쾞,퀎,큆,퀪,킚
ㅋ/ㅆ,캈,캤,컀,컜,컸,켔,켰,콌,콨,쿘,쿴,큤,킀,킸,쾄,쾼,쾠,퀐,큈,퀬,킜
ㅌ/:,타,태,탸,턔,터,테,텨,톄,토,툐,투,튜,트,티,톼,퇴,퇘,퉈,튀,퉤,틔
ㅌ/ㄱ,탁,택,탹,턕,턱,텍,텩,톅,톡,툑,툭,튝,특,틱,톽,퇵,퇙,퉉,튁,퉥,틕
ㅌ/ㄴ,탄,탠,탼,턘,턴,텐,텬,톈,톤,툔,툰,튠,튼,틴,퇀,퇸,퇜,퉌,튄,퉨,틘
ㅌ/ㄷ,탇,탣,탿,턛,턷,텓,텯,톋,톧,툗,툳,튣,튿,틷,퇃,퇻,퇟,퉏,튇,퉫,틛
ㅌ/ㄹ,탈,탤,턀,턜,털,텔,텰,톌,톨,툘,툴,튤,틀,틸,퇄,퇼,퇠,퉐,튈,퉬,틜
ㅌ/ㅁ,탐,탬,턈,턤,텀,템,텸,톔,톰,툠,툼,튬,틈,팀,퇌,툄,퇨,퉘,튐,퉴,틤
ㅌ/ㅂ,탑,탭,턉,턥,텁,텝,텹,톕,톱,툡,툽,튭,틉,팁,퇍,툅,퇩,퉙,튑,퉵,틥
ㅌ/ㅅ,탓,탯,턋,턧,텃,텟,텻,톗,톳,툣,툿,튯,틋,팃,퇏,툇,퇫,퉛,튓,퉷,틧
ㅌ/ㅇ,탕,탱,턍,턩,텅,텡,텽,톙,통,툥,퉁,튱,틍,팅,퇑,툉,퇭,퉝,튕,퉹,틩
ㅌ/ㅈ,탖,탲,턎,턪,텆,텢,텾,톚,톶,툦,퉂,튲,틎,팆,퇒,툊,퇮,퉞,튖,퉺,틪
ㅌ/ㅊ,탗,탳,턏,턫,텇,텣,텿,톛,톷,툧,퉃,튳,틏,팇,퇓,툋,퇯,퉟,튗,퉻,틫
ㅌ/ㅋ,탘,탴,턐,턬,텈,텤,톀,톜,톸,툨,퉄,튴,틐,팈,퇔,툌,퇰,퉠,튘,퉼,틬
ㅌ/ㅌ,탙,탵,턑,턭,텉,텥,톁,톝,톹,툩,퉅,튵,틑,팉,퇕,툍,퇱,퉡,튙,퉽,틭
ㅌ/ㅍ,탚,탶,턒,턮,텊,텦,톂,톞,톺,툪,퉆,튶,틒,팊,퇖,툎,퇲,퉢,튚,퉾,틮
ㅌ/ㅎ,탛,탷,턓,턯,텋,텧,톃,톟,톻,툘,퉇,튷,틓,팋,퇗,툏,퇳,퉣,튛,퉿,틯
ㅌ/ㄲ,탂,탞,탺,턖,턲,텎,텪,톆,톢,툒,툮,튞,튺,틲,톾,퇶,퇚,퉊,튂,퉦,틖
ㅌ/ㄳ,탃,탟,탻,턗,턳,텏,텪,톇,톣,툓,툯,튟,튻,틳,톿,퇷,퇛,퉋,튃,퉧,틗
ㅌ/ㄵ,탅,탡,탽,턙,턵,텑,텭,톉,톥,툕,툱,튡,튽,틵,퇁,퇹,퇝,퉍,튅,퉩,틙
ㅌ/ㄶ,탆,탢,탾,턚,턶,텒,텮,톊,톦,툖,툲,튢,튾,틶,퇂,퇺,퇞,퉎,튆,퉪,틚
ㅌ/ㄺ,탉,탥,턁,턝,턹,텕,텱,톍,톩,툙,툵,튥,틁,틹,퇅,퇽,퇡,퉑,튉,퉭,틝
ㅌ/ㄻ,탊,탦,턂,턞,턺,텖,텲,톎,톪,툚,툶,튦,틂,틺,퇆,퇾,퇢,퉒,튊,퉮,틞
ㅌ/ㄼ,탋,탧,턃,턟,턻,텗,텳,톏,톫,툛,툷,튧,틃,틻,퇇,퇿,퇣,퉓,튋,퉯,틟
ㅌ/ㄽ,탌,탨,턄,턠,턼,텘,텴,톐,톬,툜,툸,튨,틄,틼,퇈,툀,퇤,퉔,튌,퉰,틠
ㅌ/ㄾ,탍,탩,턅,턡,턽,텙,텵,톑,톭,툝,툹,튩,틅,틽,퇉,툁,퇥,퉕,튍,퉱,틡
ㅌ/ㄿ,탎,탪,턆,턢,턾,텚,텶,톒,톮,툝,툺,튪,틆,틾,퇊,툂,퇦,퉖,튎,퉲,틢
ㅌ/ㅀ,탏,탫,턇,턣,턿,텛,텷,톓,톯,툟,툻,튫,틇,틿,퇋,툃,퇧,퉗,튏,퉳,틣
ㅌ/ㅄ,탒,탮,턊,턦,텂,텞,텺,톖,톲,툢,툾,튮,틊,팂,퇎,툆,퇪,퉚,튒,퉶,틦
ㅌ/ㅆ,탔,탰,턌,턨,텄,텠,텼,톘,톴,툤,퉀,튰,틌,팄,퇐,툈,퇬,퉜,튔,퉸,틨
ㅍ/:,파,패,퍄,퍠,퍼,페,펴,폐,포,표,푸,퓨,프,피,퐈,푀,퐤,풔,퓌,풰,픠
ㅍ/ㄱ,팍,팩,퍅,퍡,퍽,펙,펵,폑,폭,푝,푹,퓩,픅,픽,퐉,푁,퐥,풕,퓍,풱,픡
ㅍ/ㄴ,판,팬,퍈,퍤,펀,펜,편,폔,폰,푠,푼,퓬,픈,핀,퐌,푄,퐨,풘,퓐,풴,픤
ㅍ/ㄷ,팓,팯,퍋,퍧,펃,펟,펻,폗,폳,푣,푿,퓯,픋,핃,퐏,푇,퐫,풛,퓓,풷,픧
ㅍ/ㄹ,팔,팰,퍌,퍨,펄,펠,펼,폘,폴,푤,풀,퓰,플,필,퐐,푈,퐬,풜,퓔,풸,픨
ㅍ/ㅁ,팜,팸,퍔,퍰,펌,펨,폄,폠,폼,푬,품,퓸,픔,핌,퐘,푐,퐴,풤,퓜,퓀,픰
ㅍ/ㅂ,팝,팹,퍕,퍱,펍,펩,폅,폡,폽,푭,풉,퓹,픕,핍,퐙,푑,퐵,풥,퓝,퓁,픱
ㅍ/ㅅ,팟,팻,퍗,퍳,펏,펫,폇,폣,폿,푯,풋,퓻,픗,핏,퐛,푓,퐷,풧,퓟,퓃,픳
ㅍ/ㅇ,팡,팽,퍙,퍵,펑,펭,평,폥,퐁,푱,풍,퓽,픙,핑,퐝,푕,퐹,풩,퓡,퓅,픵
ㅍ/ㅈ,팢,팾,퍚,퍶,펒,펮,폊,폦,퐂,푲,풎,퓾,픚,핒,퐞,푖,퐺,풪,퓢,퓆,픶
ㅍ/ㅊ,팣,팿,퍛,퍷,펓,펯,폋,폧,퐃,푳,풏,퓿,픛,핓,퐟,푗,퐻,풫,퓣,퓇,픷
ㅍ/ㅋ,팤,퍀,퍜,퍸,펔,펰,폌,폨,퐄,푴,풐,픀,픜,핔,퐠,푘,퐼,풬,퓤,퓈,픸
ㅍ/ㅌ,팥,퍁,퍝,퍹,펕,펱,폍,폩,퐅,푵,풑,픁,픝,핕,퐡,푙,퐽,풭,퓥,퓉,픹
ㅍ/ㅍ,팦,퍂,퍞,퍺,펖,펲,폎,폪,퐆,푶,풒,픂,픞,핖,퐢,푚,퐾,풮,퓦,퓊,픺
ㅍ/ㅎ,팧,퍃,퍟,퍻,펗,펳,폏,폫,퐇,푤,풓,픃,픟,핗,퐣,푛,퐿,풯,퓧,퓋,픻
ㅍ/ㄲ,팎,팪,퍆,퍢,퍾,펚,펶,폒,폮,푞,푺,퓪,픆,픾,퐊,푂,퐦,풖,퓎,풲,픢
ㅍ/ㄳ,팏,팫,퍇,퍣,퍿,펛,펷,폓,폯,푟,푻,퓫,픇,픿,퐋,푃,퐧,풗,퓏,풳,픣
ㅍ/ㄵ,팑,팭,퍉,퍥,펁,펝,펹,폕,폱,푡,푽,퓭,픉,핁,퐍,푅,퐩,풙,퓑,풵,픥
ㅍ/ㄶ,팒,팮,퍊,퍦,펂,펞,펺,폖,폲,푢,푾,퓮,픊,핂,퐎,푆,퐪,풚,퓒,풶,픦
ㅍ/ㄺ,팕,팱,퍍,퍩,펅,펡,펽,폙,폵,푥,풁,퓱,픍,핅,퐑,푉,퐭,풝,퓕,풹,픩
ㅍ/ㄻ,팖,팲,퍎,퍪,펆,펢,펾,폚,폶,푦,풂,퓲,픎,핆,퐒,푊,퐮,풞,퓖,풺,픪
ㅍ/ㄼ,팗,팳,퍏,퍫,펇,펣,펿,폛,폷,푧,풃,퓳,픏,핇,퐓,푋,퐯,풟,퓗,풻,픫
